country,region,source,segment,type,abatement,savings,cost
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.03,-11.11
Korea,Asia Pacific,Offshore gas,Upstream,Gas,Replace pumps,0,-10.69
Korea,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0,-10.69
Korea,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,0,-10.69
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.32,-10.56
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-10.53
Korea,Asia Pacific,Offshore oil,Upstream,Oil,Blowdown capture,0,-10.53
Korea,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.25,-10.21
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.02,-10.19
Japan,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,1.33,-10.19
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.03,-10.19
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0,-9.93
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0,-9.93
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.81,-9.91
Korea,Asia Pacific,Unconventional gas,Upstream,Gas,Blowdown capture,0.01,-9.91
Korea,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.01,-9.91
Korea,Asia Pacific,Offshore gas,Upstream,Gas,Blowdown capture,0.01,-9.91
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,0.08,-9.68
Korea,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0.01,-9.55
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.01,-9.44
Korea,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.02,-9.23
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.05,-9.18
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,1.3,-9.18
Malaysia,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.63,-9.01
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,14.84,-9.01
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,10.97,-9.01
Brunei,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.05,-9.01
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,1.38,-9.01
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,1.24,-9.01
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.45,-9.01
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,7.39,-9.01
Philippines,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.09,-9.01
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,1.23,-9.01
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.06,-9.01
Thailand,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,1.95,-9.01
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,12.46,-9.01
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,3.37,-9.01
Vietnam,Asia Pacific,Downstream gas,Downstream,Gas,Replace with instrument air systems,0.23,-9.01
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,2.35,-9.01
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,8.55,-9.01
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.26,-8.97
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.06,-8.97
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.03,-8.97
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-8.86
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-8.86
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-8.86
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-8.86
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.04,-8.86
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0,-8.86
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0.03,-8.85
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,1,-8.8
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.11,-8.8
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.14,-8.8
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,3.4699999999999998,-8.8
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,1.05,-8.8
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.16,-8.8
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.11,-8.8
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.26,-8.8
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.11,-8.8
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,11.76,-8.56
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.02,-8.56
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,1.96,-8.56
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,19.84,-8.56
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.86,-8.56
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,2.19,-8.56
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0.32,-8.56
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,2.81,-8.56
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,23.63,-8.56
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,3.74,-8.56
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,2.19,-8.56
Other,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.08,-8.55
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,20.86,-8.46
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.5,-8.46
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,34.21,-8.43
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,6.03,-8.43
Japan,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,0.78,-8.38
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,0.24,-8.34
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,1.21,-8.34
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,2.62,-8.33
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,6.08,-8.33
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Vapour recovery units,0.03,-8.33
Japan,Asia Pacific,Offshore oil,Upstream,Oil,Upstream LDAR,0,-8.3
Japan,Asia Pacific,Offshore gas,Upstream,Gas,Upstream LDAR,0.05,-8.3
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.32,-8.3
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.16,-8.27
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.69,-8.27
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.09,-8.27
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,1.88,-8.26
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.4,-8.26
Vietnam,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.01,-8.19
Vietnam,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.01,-8.19
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.05,-8.18
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.07,-8.18
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.5,-8.18
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.53,-8.18
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,1.73,-8.18
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Upstream LDAR,0.13,-8.18
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.06,-8.18
Philippines,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.08,-8.18
Vietnam,Asia Pacific,Onshore conventional oil,Upstream,Oil,Upstream LDAR,0.05,-8.18
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.01,-8.15
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.04,-8.15
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.96,-8.07
China,Asia Pacific,Unconventional gas,Upstream,Gas,Other,1.33,-8.07
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0,-8.03
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0,-8.03
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0,-8.02
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.03,-8.02
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.02,-7.99
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,8.07,-7.9399999999999995
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,0.3,-7.9399999999999995
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,3.86,-7.9399999999999995
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.09,-7.9399999999999995
Indonesia,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,0,-7.92
