region,country,emissions,source,type,segment,reason,baseYear,notes
Africa,Algeria,257.6112060546875,IEA,Agriculture,Total,All,2019-2021,"Average based on United Nations Framework Convention on Climate Change (UNFCCC) (2022), Greenhouse Gas Data Interface, available at: https://di.unfccc.int/; O'Rourke, P. R, Smith, S. J., Mott, A., Ahsan, H., McDuffie, E. E., Crippa, M., Klimont, S., McDonald, B., Z., Wang, Nicholson, M. B, Feng, L., and Hoesly, R. M. (2021, February 05). Community Emissions Data System (CEDS) v-2021-02-05 Emission Data 1975-2019 (Version Feb-05-2021). Available at: http://doi.org/10.5281/zenodo.4509372.; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J.G.J., Grassi, G., Rossi, S., Vignati, E. (2021), GHG emissions of all world countries - 2021 Report, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/173513, JRC126363; (2022) EDGAR - Emissions Database for Global Atmospheric Research (EDGAR) v7.0 Greenhouse Gas Emissions. European Commission, Joint Research Centre (JRC) [Dataset] PID: https://edgar.jrc.ec.europa.eu/dataset_ghg70; Climate Watch (2022), Food and Agriculture Organisation of the United Nations (2022). Climate Watch data: Climate Watch, 2022, GHG Emissions, Washington, DC: World Resources Institute. FAO 2022, FAOSTAT Emissions Database. Available at: https://www.climatewatchdata.org/ghg-emissions"
Africa,Algeria,0.052000001072883606,IEA,Energy,Bioenergy,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
Africa,Algeria,130.7989959716797,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2022,NA
Africa,Algeria,69.74189758300781,IEA,Energy,Gas pipelines and LNG facilities,Vented,2022,NA
Africa,Algeria,213.98699951171875,IEA,Energy,Onshore gas,Fugitive,2022,NA
Africa,Algeria,464.3080139160156,IEA,Energy,Onshore gas,Vented,2022,NA
Africa,Algeria,469.7869873046875,IEA,Energy,Onshore oil,Flared,2022,NA
Africa,Algeria,85.18720245361328,IEA,Energy,Onshore oil,Fugitive,2022,NA
Africa,Algeria,1154.1199951171875,IEA,Energy,Onshore oil,Vented,2022,NA
Africa,Algeria,0.004000000189989805,IEA,Energy,Other from coal,All,2022,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)"
